top - 17:59:55 up 5 days,  7:05,  1 user,  load average: 3.55, 3.92, 4.01
Tasks: 474 total,   2 running, 472 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.4 us, 13.6 sy,  0.0 ni, 58.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15900.2 total,    284.0 free,  10360.2 used,   5255.9 buff/cache
MiB Swap:   2048.0 total,    777.9 free,   1270.1 used.   3786.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8111 nishant+  20   0 1368720  29352  18096 S   0.0   0.2   0:04.64 gsd-med+
   8112 nishant+  20   0  621672  28808  17844 S   0.0   0.2   0:03.32 gsd-pow+
   8114 nishant+  20   0  256752  11232   9756 S   0.0   0.1   0:00.54 gsd-pri+
   8115 nishant+  20   0  457104   6024   5392 S   0.0   0.0   0:00.78 gsd-rfk+
   8116 nishant+  20   0  235512   5920   5396 S   0.0   0.0   0:00.40 gsd-scr+
   8119 nishant+  20   0  465048  10908   8524 S   0.0   0.1   8:01.12 gsd-sha+
   8124 nishant+  20   0  462628   8272   7444 S   0.0   0.1   0:00.42 gsd-sma+
   8132 nishant+  20   0  319356   8696   7696 S   0.0   0.1   0:00.40 gsd-sou+
   8135 nishant+  20   0  458696   7120   6364 S   0.0   0.0   0:00.45 gsd-usb+
   8142 nishant+  20   0  345420  24660  14576 S   0.0   0.2   0:01.12 gsd-wac+
   8148 nishant+  20   0  387824   7368   6440 S   0.0   0.0   0:00.39 gsd-wwan
   8152 nishant+  20   0  342184  13712  11812 S   0.0   0.1   0:00.15 gsd-pri+
   8153 nishant+  20   0  346640  25168  14616 S   0.0   0.2   0:01.36 gsd-xse+
   8168 nishant+  20   0  587720  21076  17420 S   0.0   0.1   0:08.38 anydesk
   8169 nishant+  20   0 2153144  87936  51328 S   0.0   0.5   0:48.22 PanGPUI
   8183 nishant+  20   0  182804  18480  11488 S   0.0   0.1   0:00.13 python3
   8195 nishant+  20   0  654084  41656  25592 S   0.0   0.3   0:01.09 evoluti+
   8206 nishant+  20   0  231804   6056   4684 S   0.0   0.0   0:00.11 gsd-dis+
   8244 nishant+  20   0  162700   6840   6212 S   0.0   0.0   0:01.16 ibus-en+
   8259 nishant+  20   0 1543764 572892  58144 S   0.0   3.5   1:34.47 snap-st+
   8296 nishant+  20   0  531264   6232   5608 S   0.0   0.0   0:04.03 xdg-doc+
   8379 nishant+  20   0  610568  11060   8972 S   0.0   0.1   0:09.72 xdg-des+
